Case	New	Kd (nM)	ΔG (kcal/mol)
1S78	X	500	-8.45
2DD8	X	20	-10.5
2FJG	X	20	-10.92
2VXT		0.533	-12.65
2W9E		0.13	-13.49
3EOA		2.2	-11.81
3G6D		0.0184	-14.65
3HI6		4700	-7.27
3L5W		0.54	-14.01
3MJ9	X	8	-11.05
3MXW		7	-11.31
3RVW		19	-10.53
3U7Y	X	160	-9.27
3V6Z		3.3	-11.57
3WD5	X	0.115	-13.56
4DN4		0.038	-14.22
4ETQ	X	0.18	-13.29
4FP8	X	430	-8.83
4FQI		0.9	-12.55
4G6J		4.1	-11.44
4G6M		0.29	-13.01
4GXU		6.2	-11.2
4M5Z	X	10	-11.1
4POU	X	157	-9.28
4Y7M	X	1.61	-11.79
5C7X	X	0.007	-15.22
5CBA	X	0.3715	-13.38
5GRJ	X	0.0421	-14.15
5HGG	X	0.054	-14.01
5HYS	X	10	-10.91
5KOV	X	1.87	-11.91
5O14	X	0.019	-14.62
5SV3	X	0.0627	-13.92
5VNW	X	430	-8.68
5WHK	X	1.81	-11.93
5WUX	X	0.0274	-14.41
5Y9J	X	0.995	-12.28
6A0Z	X	53	-9.92
6B0S	X	178	-9.11
6CWG	X	0.1	-13.64
6DBG	X	0.15	-13.4
6EY6	X	8	-11.05
